130,106,129,2022-09-21 1:13:55 PM +00:00,,,,,
131,106,128,2022-09-21 1:13:55 PM +00:00,,,,,
135,106,125,2022-09-21 1:13:55 PM +00:00,,,,,
134,107,126,2022-09-21 1:13:55 PM +00:00,,,,,
132,107,126,2022-09-21 1:13:55 PM +00:00,,,,,
133,106,129,2022-09-21 1:13:55 PM +00:00,,,,,
133,106,127,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,127,2022-09-21 1:13:55 PM +00:00,,,,,
133,106,125,2022-09-21 1:13:55 PM +00:00,,,,,
131,106,125,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,127,2022-09-21 1:13:55 PM +00:00,,,,,
133,105,126,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,127,2022-09-21 1:13:55 PM +00:00,,,,,
131,106,126,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,126,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,124,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,127,2022-09-21 1:13:55 PM +00:00,,,,,
132,105,127,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,126,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,125,2022-09-21 1:13:55 PM +00:00,,,,,
132,106,125,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,126,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
133,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
133,106,125,2022-09-21 1:13:56 PM +00:00,,,,,
131,106,126,2022-09-21 1:13:56 PM +00:00,,,,,
131,106,128,2022-09-21 1:13:56 PM +00:00,,,,,
132,106,126,2022-09-21 1:13:56 PM +00:00,,,,,
133,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
132,106,125,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,126,2022-09-21 1:13:56 PM +00:00,,,,,
131,105,126,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
133,106,126,2022-09-21 1:13:56 PM +00:00,,,,,
132,106,125,2022-09-21 1:13:56 PM +00:00,,,,,
132,106,126,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,126,2022-09-21 1:13:56 PM +00:00,,,,,
132,106,125,2022-09-21 1:13:56 PM +00:00,,,,,
132,106,126,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,126,2022-09-21 1:13:56 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
131,106,125,2022-09-21 1:13:56 PM +00:00,,,,,
132,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:56 PM +00:00,,,,,
121,102,130,2022-09-21 1:13:56 PM +00:00,,,,,
74,101,136,2022-09-21 1:13:56 PM +00:00,,,,,
37,116,144,2022-09-21 1:13:57 PM +00:00,,,,,
133,150,112,2022-09-21 1:13:57 PM +00:00,,,,,
241,69,117,2022-09-21 1:13:57 PM +00:00,,,,,
183,104,115,2022-09-21 1:13:57 PM +00:00,,,,,
126,130,130,2022-09-21 1:13:57 PM +00:00,,,,,
143,102,125,2022-09-21 1:13:57 PM +00:00,,,,,
135,105,130,2022-09-21 1:13:57 PM +00:00,,,,,
136,105,127,2022-09-21 1:13:57 PM +00:00,,,,,
134,108,127,2022-09-21 1:13:57 PM +00:00,,,,,
135,105,128,2022-09-21 1:13:57 PM +00:00,,,,,
136,105,125,2022-09-21 1:13:57 PM +00:00,,,,,
132,108,129,2022-09-21 1:13:57 PM +00:00,,,,,
134,107,127,2022-09-21 1:13:57 PM +00:00,,,,,
137,104,129,2022-09-21 1:13:57 PM +00:00,,,,,
135,105,128,2022-09-21 1:13:57 PM +00:00,,,,,
132,107,128,2022-09-21 1:13:57 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:57 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:57 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:57 PM +00:00,,,,,
134,106,129,2022-09-21 1:13:57 PM +00:00,,,,,
133,106,127,2022-09-21 1:13:57 PM +00:00,,,,,
134,107,126,2022-09-21 1:13:57 PM +00:00,,,,,
134,106,127,2022-09-21 1:13:57 PM +00:00,,,,,
135,106,128,2022-09-21 1:13:57 PM +00:00,,,,,
133,107,128,2022-09-21 1:13:57 PM +00:00,,,,,
133,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
133,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,129,2022-09-21 1:13:58 PM +00:00,,,,,
135,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,126,2022-09-21 1:13:58 PM +00:00,,,,,
135,107,127,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,127,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,129,2022-09-21 1:13:58 PM +00:00,,,,,
133,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,127,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,129,2022-09-21 1:13:58 PM +00:00,,,,,
133,107,129,2022-09-21 1:13:58 PM +00:00,,,,,
133,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:58 PM +00:00,,,,,
134,107,129,2022-09-21 1:13:58 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:59 PM +00:00,,,,,
134,106,129,2022-09-21 1:13:59 PM +00:00,,,,,
134,106,129,2022-09-21 1:13:59 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:59 PM +00:00,,,,,
133,106,128,2022-09-21 1:13:59 PM +00:00,,,,,
133,107,128,2022-09-21 1:13:59 PM +00:00,,,,,
134,106,128,2022-09-21 1:13:59 PM +00:00,,,,,
134,107,128,2022-09-21 1:13:59 PM +00:00,,,,,
134,107,129,2022-09-21 1:13:59 PM +00:00,,,,,
134,107,129,2022-09-21 1:13:59 PM +00:00,,,,,
134,107,129,2022-09-21 1:13:59 PM +00:00,,,,,
137,105,127,2022-09-21 1:13:59 PM +00:00,,,,,
161,96,124,2022-09-21 1:13:59 PM +00:00,,,,,
208,118,120,2022-09-21 1:13:59 PM +00:00,,,,,
201,129,130,2022-09-21 1:13:59 PM +00:00,,,,,
116,118,125,2022-09-21 1:13:59 PM +00:00,,,,,
42,109,147,2022-09-21 1:13:59 PM +00:00,,,,,
69,89,147,2022-09-21 1:13:59 PM +00:00,,,,,
154,99,105,2022-09-21 1:13:59 PM +00:00,,,,,
142,115,129,2022-09-21 1:13:59 PM +00:00,,,,,
111,110,141,2022-09-21 1:13:59 PM +00:00,,,,,
